Asset,Company,Country,Region,Sector,Facility_ID,Facility_Name,Facility_Type,Reporting_Year,Month,Emission_Type,Emission_Value_tCO2e,Emission_Method,Emission_Factor_Source,Regulator,Scope_1_tCO2e,Scope_2_tCO2e,Scope_3_tCO2e,Energy_Consumed_kWh,Flaring_Volume_Mscf,Methane_tons,Production_Volume,Production_Unit,Industry_Code,Data_Quality,Data_Type,Dataset_Version,Source,Latitude,Longitude,Facility_Status,Notes,Total_Emissions
Cracker Unit 255,Gamma Mining Corp,Norway,Europe,Petrochemicals,FAC-255,Sunset Cracker Unit 255,Cracker Unit,2022,8,Total_GHG,2182.619,Direct Measurement,IPCC 2019,National Authority,798.843,68.957,1314.819,158578.17,507.104,23.848,3003.54,MWh,325110,Medium,Synthetic,v1.0,Generated,63.8887,12.5791,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,2182.619
Gas Plant 256,Terra Minerals,USA,North America,Oil & Gas,FAC-256,Granite Onshore Gas Plant 256,Onshore Gas Plant,2018,5,Total_GHG,2097.408,Direct Measurement,EU EMEP/EEA,EU ETS,944.612,56.202,1096.594,144245.58,788.435,31.144,1218.69,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,25.0202,-91.5182,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2097.408
Smelter 257,Gamma Mining Corp,UAE,Middle East,Mining,FAC-257,Riverview Smelter 257,Smelter,2018,2,Total_GHG,1571.001,Emission Factor,EU EMEP/EEA,EU ETS,772.658,179.745,618.598,425172.3,111.801,19.853,11632.82,tons/day,212299,High,Synthetic,v1.0,Generated,25.9898,54.3503,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1571.001
Smelter 258,Orion Upstream,UK,Europe,Mining,FAC-258,Sunset Smelter 258,Smelter,2021,12,Total_GHG,1092.346,Emission Factor,IPCC 2019,EU ETS,654.937,89.219,348.19,206151.72,63.764,19.669,5996.99,MWh,212299,Medium,Synthetic,v1.0,Generated,51.4863,-1.9543,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1092.346
Smelter 259,Terra Minerals,Canada,North America,Mining,FAC-259,Lakeside Smelter 259,Smelter,2021,11,Total_GHG,995.906,Emission Factor,EU EMEP/EEA,Local Authority,563.802,144.287,287.817,355732.71,107.397,13.52,9802.9,tons/day,212299,High,Synthetic,v1.0,Generated,57.1306,-86.3138,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,995.9060000000001
Concentrator 260,Gamma Mining Corp,USA,North America,Mining,FAC-260,Highland Concentrator 260,Concentrator,2023,10,Total_GHG,837.763,Direct Measurement,IPCC 2019,Local Authority,394.242,101.225,342.296,312069.49,103.728,8.039,8779.07,MWh,212299,High,Synthetic,v1.0,Generated,41.6812,-89.3371,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,837.7629999999999
Concentrator 261,Alpha Energy,Canada,North America,Mining,FAC-261,Silverline Concentrator 261,Concentrator,2019,11,Total_GHG,950.268,Direct Measurement,IEA 2023,National Authority,577.485,77.583,295.2,206967.32,86.772,16.665,6209.87,tons/day,212299,Medium,Synthetic,v1.0,Generated,59.3032,-59.9084,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,950.268
Processing Plant 262,Vertex LNG,Norway,Europe,Mining,FAC-262,Granite Processing Plant 262,Processing Plant,2018,11,Total_GHG,851.242,Hybrid,EU EMEP/EEA,National Authority,446.305,106.379,298.558,227504.2,65.937,11.159,7139.03,tons/day,212299,High,Synthetic,v1.0,Generated,60.7411,24.0934,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,851.242
Mine 263,Epsilon Resources,India,Asia-Pacific,Mining,FAC-263,Eagle Open-Pit Mine 263,Open-Pit Mine,2023,1,Total_GHG,845.979,Hybrid,EU EMEP/EEA,National Authority,538.497,41.351,266.131,113997.41,27.931,17.603,2984.75,MWh,212299,Medium,Synthetic,v1.0,Generated,15.6401,74.3138,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,845.9789999999999
Polymer Plant 264,Terra Minerals,Saudi Arabia,Middle East,Petrochemicals,FAC-264,Granite Polymer Plant 264,Polymer Plant,2022,1,Total_GHG,1186.407,Direct Measurement,IPCC 2019,US EPA,586.632,75.027,524.748,205368.51,143.204,13.961,4137.86,tons/day,325110,Low,Synthetic,v1.0,Generated,26.1658,48.8982,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1186.407
Gathering Hub 265,Beta Oilfield Services,Canada,North America,Oil & Gas,FAC-265,Cedar Gathering Hub 265,Gathering Hub,2023,11,Total_GHG,2474.148,Emission Factor,EU EMEP/EEA,Local Authority,737.011,63.225,1673.912,149750.7,798.185,23.695,1156.34,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,45.3324,-86.7877,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2474.148
Mine 266,Nexus Petrochem,Qatar,Middle East,Mining,FAC-266,Highland Open-Pit Mine 266,Open-Pit Mine,2019,8,Total_GHG,548.323,Emission Factor,EPA AP-42,US EPA,245.462,61.549,241.312,173405.32,17.272,5.46,4847.5,tons/day,212299,High,Synthetic,v1.0,Generated,24.6653,50.1201,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,548.323
Aromatics Unit 267,Vertex LNG,USA,North America,Petrochemicals,FAC-267,Oakridge Aromatics Unit 267,Aromatics Unit,2018,1,Total_GHG,1523.418,Emission Factor,IPCC 2019,EU ETS,551.244,181.824,790.35,410105.39,622.316,5.533,8014.93,MWh,325110,High,Synthetic,v1.0,Generated,46.5163,-115.3665,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1523.418
Mine 268,Sequoia Refining,Australia,Asia-Pacific,Mining,FAC-268,Oakridge Open-Pit Mine 268,Open-Pit Mine,2020,7,Total_GHG,945.97,Hybrid,IPCC 2019,National Authority,564.186,57.397,324.387,156653.54,75.991,17.36,4599.68,tons/day,212299,Medium,Synthetic,v1.0,Generated,-13.3641,128.6389,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,945.97
Mine 269,Orion Upstream,India,Asia-Pacific,Mining,FAC-269,Silverline Open-Pit Mine 269,Open-Pit Mine,2019,3,Total_GHG,528.601,Emission Factor,IPCC 2019,US EPA,228.531,78.73,221.34,213222.53,69.055,4.111,5835.61,tons/day,212299,High,Synthetic,v1.0,Generated,9.6972,80.6558,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,528.601
Cracker Unit 270,Nexus Petrochem,Canada,North America,Petrochemicals,FAC-270,Eagle Cracker Unit 270,Cracker Unit,2021,11,Total_GHG,2376.943,Hybrid,IPCC 2019,EU ETS,837.592,110.463,1428.888,341938.94,335.915,19.891,5931.13,tons/day,325110,Medium,Synthetic,v1.0,Generated,48.7153,-82.4612,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2376.943
Refinery 271,Epsilon Resources,Canada,North America,Oil & Gas,FAC-271,Sunset Refinery 271,Refinery,2018,2,Total_GHG,2209.892,Emission Factor,IPCC 2019,EU ETS,715.372,88.296,1406.224,185048.47,460.79,22.021,1455.01,MWh,211120,High,Synthetic,v1.0,Generated,55.317,-124.9793,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2209.892
Refinery 272,Sequoia Refining,Norway,Europe,Oil & Gas,FAC-272,Riverview Refinery 272,Refinery,2024,7,Total_GHG,938.943,Direct Measurement,IPCC 2019,National Authority,313.171,40.158,585.614,88147.6,390.233,9.376,726.8,MMscf,211120,High,Synthetic,v1.0,Generated,62.3615,8.1394,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,938.943
Gathering Hub 273,Epsilon Resources,Qatar,Middle East,Oil & Gas,FAC-273,Pioneer Gathering Hub 273,Gathering Hub,2023,3,Total_GHG,1580.216,Hybrid,IPCC 2019,Local Authority,496.174,67.368,1016.674,162174.89,678.458,14.076,1416.34,MWh,211120,High,Synthetic,v1.0,Generated,25.387,51.5845,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1580.216
Offshore Platform 274,Beta Oilfield Services,Australia,Asia-Pacific,Oil & Gas,FAC-274,Eagle Offshore Platform 274,Offshore Platform,2022,4,Total_GHG,2669.087,Direct Measurement,IEA 2023,US EPA,1013.412,69.743,1585.932,146836.51,388.27,33.77,1185.85,MWh,211120,High,Synthetic,v1.0,Generated,-12.4874,138.519,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2669.087
Compressor 275,Epsilon Resources,Saudi Arabia,Middle East,Oil & Gas,FAC-275,Pioneer Compressor Station 275,Compressor Station,2018,2,Total_GHG,1240.327,Emission Factor,EU EMEP/EEA,EU ETS,421.355,50.29,768.682,115495.92,828.008,12.464,1029.18,MWh,211120,Medium,Synthetic,v1.0,Generated,25.2523,47.3512,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1240.327
Refinery 276,Orion Upstream,UK,Europe,Oil & Gas,FAC-276,Lakeside Refinery 276,Refinery,2021,4,Total_GHG,2346.591,Hybrid,IEA 2023,Local Authority,1127.571,51.048,1167.972,133643.53,935.557,38.169,1117.18,MWh,211120,Low,Synthetic,v1.0,Generated,50.7845,-0.6225,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2346.591
Refinery 277,Sequoia Refining,USA,North America,Oil & Gas,FAC-277,Pioneer Refinery 277,Refinery,2021,7,Total_GHG,2776.915,Hybrid,IEA 2023,US EPA,1006.526,57.683,1712.706,124077.4,373.018,33.783,1095.35,MMscf,211120,High,Synthetic,v1.0,Generated,31.7345,-117.5557,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2776.915
Gathering Hub 278,Vertex LNG,India,Asia-Pacific,Oil & Gas,FAC-278,Silverline Gathering Hub 278,Gathering Hub,2024,4,Total_GHG,1497.867,Direct Measurement,EU EMEP/EEA,US EPA,435.859,36.318,1025.69,113205.47,853.595,13.293,928.62,MMscf,211120,High,Synthetic,v1.0,Generated,13.5834,82.6004,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1497.867
Cracker Unit 279,Vertex LNG,India,Asia-Pacific,Petrochemicals,FAC-279,Northshore Cracker Unit 279,Cracker Unit,2023,12,Total_GHG,1215.325,Hybrid,IPCC 2019,National Authority,435.598,92.046,687.681,249599.73,369.331,7.011,4897.97,tons/day,325110,High,Synthetic,v1.0,Generated,12.8102,79.1697,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1215.325
Blending Station 280,Gamma Mining Corp,Saudi Arabia,Middle East,Petrochemicals,FAC-280,Northshore Blending Station 280,Blending Station,2024,11,Total_GHG,1436.128,Hybrid,IPCC 2019,Local Authority,708.933,85.761,641.434,208138.08,289.971,19.15,3761.07,MWh,325110,Medium,Synthetic,v1.0,Generated,25.4022,44.5585,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1436.128
Aromatics Unit 281,Alpha Energy,Canada,North America,Petrochemicals,FAC-281,Northshore Aromatics Unit 281,Aromatics Unit,2020,6,Total_GHG,1538.307,Hybrid,IEA 2023,EU ETS,552.528,105.605,880.174,249158.69,661.193,12.086,4475.77,tons/day,325110,High,Synthetic,v1.0,Generated,53.3398,-99.0489,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1538.307
Blending Station 282,Epsilon Resources,USA,North America,Petrochemicals,FAC-282,Pioneer Blending Station 282,Blending Station,2022,9,Total_GHG,2080.724,Direct Measurement,IEA 2023,National Authority,646.014,171.442,1263.268,382696.47,955.132,11.475,6677.88,MWh,325110,High,Synthetic,v1.0,Generated,26.5209,-103.9769,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2080.724
Gas Plant 283,Beta Oilfield Services,Canada,North America,Oil & Gas,FAC-283,Riverview Onshore Gas Plant 283,Onshore Gas Plant,2021,3,Total_GHG,2598.693,Hybrid,IPCC 2019,Local Authority,981.89,106.257,1510.546,268443.76,242.924,30.065,2051.53,MWh,211120,High,Synthetic,v1.0,Generated,47.4487,-130.1418,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2598.693
Gathering Hub 284,Orion Upstream,Qatar,Middle East,Oil & Gas,FAC-284,Granite Gathering Hub 284,Gathering Hub,2021,10,Total_GHG,994.097,Emission Factor,EPA AP-42,Local Authority,417.544,41.833,534.72,120390.36,451.782,12.589,939.04,MWh,211120,Medium,Synthetic,v1.0,Generated,25.1574,51.3115,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,994.097
Concentrator 285,Vertex LNG,Norway,Europe,Mining,FAC-285,Eagle Concentrator 285,Concentrator,2020,3,Total_GHG,1329.342,Hybrid,IPCC 2019,Local Authority,672.17,200.621,456.551,529135.75,41.665,12.788,16216.84,tons/day,212299,Low,Synthetic,v1.0,Generated,66.0422,9.1805,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1329.342
Processing Plant 286,Terra Minerals,UAE,Middle East,Mining,FAC-286,Pioneer Processing Plant 286,Processing Plant,2024,3,Total_GHG,975.464,Hybrid,IEA 2023,National Authority,434.128,69.315,472.021,188719.62,113.386,11.703,5790.3,MWh,212299,High,Synthetic,v1.0,Generated,22.486,51.1246,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,975.4639999999999
Mine 287,Gamma Mining Corp,Australia,Asia-Pacific,Mining,FAC-287,Sunset Open-Pit Mine 287,Open-Pit Mine,2024,4,Total_GHG,895.808,Direct Measurement,EU EMEP/EEA,US EPA,477.63,112.716,305.462,254589.34,86.068,12.019,7535.67,tons/day,212299,Low,Synthetic,v1.0,Generated,-30.5456,115.9422,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,895.808
Concentrator 288,Sequoia Refining,South Africa,Africa,Mining,FAC-288,Oakridge Concentrator 288,Concentrator,2020,7,Total_GHG,769.365,Hybrid,EU EMEP/EEA,National Authority,404.839,124.823,239.703,271420.66,56.816,9.029,7962.49,MWh,212299,Medium,Synthetic,v1.0,Generated,-27.8613,18.8407,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,769.365
Blending Station 289,Nexus Petrochem,Norway,Europe,Petrochemicals,FAC-289,Riverview Blending Station 289,Blending Station,2019,5,Total_GHG,1183.827,Hybrid,EU EMEP/EEA,EU ETS,463.296,124.353,596.178,266676.69,1076.182,7.273,5309.4,MWh,325110,High,Synthetic,v1.0,Generated,68.8616,20.5463,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1183.827
Smelter 290,Alpha Energy,UAE,Middle East,Mining,FAC-290,Eagle Smelter 290,Smelter,2023,8,Total_GHG,916.286,Direct Measurement,EU EMEP/EEA,EU ETS,497.994,84.658,333.634,198474.34,37.602,13.829,6092.25,tons/day,212299,High,Synthetic,v1.0,Generated,25.3383,52.5196,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,916.2860000000001
Mine 291,Sequoia Refining,Saudi Arabia,Middle East,Mining,FAC-291,Highland Open-Pit Mine 291,Open-Pit Mine,2023,11,Total_GHG,740.784,Hybrid,IEA 2023,Local Authority,353.725,88.105,298.954,256580.63,99.621,7.474,7521.62,tons/day,212299,High,Synthetic,v1.0,Generated,24.716,42.4836,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,740.7840000000001
Concentrator 292,Alpha Energy,UAE,Middle East,Mining,FAC-292,Westfield Concentrator 292,Concentrator,2022,4,Total_GHG,976.616,Emission Factor,EPA AP-42,US EPA,388.211,131.286,457.119,288413.53,87.48,8.518,7826.09,tons/day,212299,Medium,Synthetic,v1.0,Generated,23.1667,54.1947,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,976.6160000000001
Refinery 293,Gamma Mining Corp,Australia,Asia-Pacific,Oil & Gas,FAC-293,Cedar Refinery 293,Refinery,2020,3,Total_GHG,2501.818,Hybrid,IPCC 2019,National Authority,788.868,49.403,1663.547,104579.91,782.505,26.441,870.91,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,-27.0902,144.5947,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2501.818
Refinery 294,Vertex LNG,Saudi Arabia,Middle East,Oil & Gas,FAC-294,Pioneer Refinery 294,Refinery,2022,9,Total_GHG,1478.723,Emission Factor,IEA 2023,EU ETS,455.84,79.296,943.587,183947.41,643.892,11.934,1640.44,MMscf,211120,High,Synthetic,v1.0,Generated,20.6736,39.4385,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1478.723
Cracker Unit 295,Beta Oilfield Services,USA,North America,Petrochemicals,FAC-295,Northshore Cracker Unit 295,Cracker Unit,2019,2,Total_GHG,1044.722,Hybrid,IEA 2023,EU ETS,524.558,81.502,438.662,242970.93,741.318,11.114,4445.14,tons/day,325110,High,Synthetic,v1.0,Generated,43.5926,-80.0746,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1044.722
Offshore Platform 296,Epsilon Resources,South Africa,Africa,Oil & Gas,FAC-296,Eagle Offshore Platform 296,Offshore Platform,2024,12,Total_GHG,791.752,Hybrid,IPCC 2019,US EPA,315.769,45.004,430.979,128345.5,202.668,8.507,1054.73,MWh,211120,Low,Synthetic,v1.0,Generated,-29.826,20.4084,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,791.752
Blending Station 297,Orion Upstream,South Africa,Africa,Petrochemicals,FAC-297,Westfield Blending Station 297,Blending Station,2019,6,Total_GHG,2045.068,Emission Factor,EPA AP-42,US EPA,1047.361,130.733,866.974,387183.14,419.905,24.781,7466.36,MWh,325110,High,Synthetic,v1.0,Generated,-31.7785,28.1029,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,2045.068
Concentrator 298,Vertex LNG,South Africa,Africa,Mining,FAC-298,Pioneer Concentrator 298,Concentrator,2019,9,Total_GHG,1126.274,Emission Factor,IPCC 2019,National Authority,468.153,95.2,562.921,273023.31,12.371,11.095,8318.43,MWh,212299,High,Synthetic,v1.0,Generated,-25.1659,28.3057,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1126.274
Refinery 299,Gamma Mining Corp,Qatar,Middle East,Oil & Gas,FAC-299,Westfield Refinery 299,Refinery,2023,3,Total_GHG,1101.04,Hybrid,EPA AP-42,National Authority,441.285,61.49,598.265,141022.5,847.424,12.652,1214.38,kbbl/day-eq,211120,High,Synthetic,v1.0,Generated,24.8012,51.1811,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1101.04
Smelter 300,Terra Minerals,UAE,Middle East,Mining,FAC-300,Westfield Smelter 300,Smelter,2020,8,Total_GHG,1062.803,Emission Factor,IEA 2023,Local Authority,499.518,103.405,459.88,296583.6,147.139,11.487,9353.57,tons/day,212299,Medium,Synthetic,v1.0,Generated,22.5895,53.2732,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1062.803
Gathering Hub 301,Vertex LNG,India,Asia-Pacific,Oil & Gas,FAC-301,Pioneer Gathering Hub 301,Gathering Hub,2022,5,Total_GHG,1655.699,Emission Factor,EU EMEP/EEA,National Authority,693.205,45.82,916.674,120142.66,860.647,22.568,991.94,MWh,211120,High,Synthetic,v1.0,Generated,12.0386,81.2419,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1655.699
Aromatics Unit 302,Gamma Mining Corp,India,Asia-Pacific,Petrochemicals,FAC-302,Cedar Aromatics Unit 302,Aromatics Unit,2021,2,Total_GHG,1464.164,Emission Factor,EU EMEP/EEA,Local Authority,633.573,101.676,728.915,253511.62,649.571,15.083,4466.31,MWh,325110,Medium,Synthetic,v1.0,Generated,16.6136,74.2492,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1464.164
Refinery 303,Sequoia Refining,USA,North America,Oil & Gas,FAC-303,Silverline Refinery 303,Refinery,2022,1,Total_GHG,1586.598,Hybrid,EPA AP-42,US EPA,659.946,79.155,847.497,185897.28,290.876,19.557,1599.94,MWh,211120,Low,Synthetic,v1.0,Generated,28.0768,-102.7482,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1586.598
Mine 304,Orion Upstream,Norway,Europe,Mining,FAC-304,Pioneer Open-Pit Mine 304,Open-Pit Mine,2023,7,Total_GHG,1486.619,Emission Factor,IPCC 2019,EU ETS,730.499,122.153,633.967,319397.88,135.585,19.818,9572.46,MWh,212299,High,Synthetic,v1.0,Generated,58.2563,13.479,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1486.619
Aromatics Unit 305,Gamma Mining Corp,South Africa,Africa,Petrochemicals,FAC-305,Lakeside Aromatics Unit 305,Aromatics Unit,2021,11,Total_GHG,1077.497,Hybrid,IPCC 2019,US EPA,462.226,127.897,487.374,332785.22,631.633,6.58,5664.99,tons/day,325110,Medium,Synthetic,v1.0,Generated,-30.4057,32.5414,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1077.497
Blending Station 306,Nexus Petrochem,UK,Europe,Petrochemicals,FAC-306,Highland Blending Station 306,Blending Station,2022,5,Total_GHG,1187.456,Hybrid,IEA 2023,National Authority,643.247,90.383,453.826,259055.37,474.629,14.438,5010.66,MWh,325110,High,Synthetic,v1.0,Generated,52.7785,-7.2334,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1187.456
Blending Station 307,Epsilon Resources,Australia,Asia-Pacific,Petrochemicals,FAC-307,Cedar Blending Station 307,Blending Station,2022,12,Total_GHG,1965.159,Direct Measurement,IEA 2023,National Authority,873.485,150.754,940.92,386884.66,313.348,18.822,7230.54,tons/day,325110,High,Synthetic,v1.0,Generated,-16.0124,147.4054,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1965.159
Gas Plant 308,Sequoia Refining,UK,Europe,Oil & Gas,FAC-308,Lakeside Onshore Gas Plant 308,Onshore Gas Plant,2018,4,Total_GHG,1838.701,Emission Factor,EPA AP-42,EU ETS,875.838,47.667,915.196,137965.12,690.324,28.794,1158.01,MMscf,211120,Medium,Synthetic,v1.0,Generated,53.2469,-6.8644,Idle,Synthetic dataset for research and benchmarking; non-identifiable.,1838.701
Blending Station 309,Alpha Energy,USA,North America,Petrochemicals,FAC-309,Sunset Blending Station 309,Blending Station,2020,2,Total_GHG,1629.637,Hybrid,IPCC 2019,Local Authority,707.985,179.597,742.055,394858.26,1009.49,13.802,6651.42,MWh,325110,High,Synthetic,v1.0,Generated,45.63,-119.1321,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1629.637
Cracker Unit 310,Orion Upstream,Saudi Arabia,Middle East,Petrochemicals,FAC-310,Silverline Cracker Unit 310,Cracker Unit,2023,4,Total_GHG,1620.262,Emission Factor,IPCC 2019,Local Authority,656.97,118.142,845.15,285148.03,314.639,13.893,5581.61,tons/day,325110,Medium,Synthetic,v1.0,Generated,28.485,45.0585,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1620.262
Gas Plant 311,Gamma Mining Corp,Saudi Arabia,Middle East,Oil & Gas,FAC-311,Highland Onshore Gas Plant 311,Onshore Gas Plant,2018,11,Total_GHG,998.159,Emission Factor,EPA AP-42,Local Authority,400.618,62.742,534.799,146779.81,1094.115,10.762,1348.64,MWh,211120,Low,Synthetic,v1.0,Generated,23.1283,39.5161,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,998.159
Polymer Plant 312,Vertex LNG,Qatar,Middle East,Petrochemicals,FAC-312,Highland Polymer Plant 312,Polymer Plant,2020,2,Total_GHG,2149.97,Direct Measurement,EPA AP-42,US EPA,774.384,183.53,1192.056,407880.01,1258.489,14.262,7729.15,tons/day,325110,Medium,Synthetic,v1.0,Generated,24.0157,51.9215,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2149.97
Smelter 313,Orion Upstream,Qatar,Middle East,Mining,FAC-313,Riverview Smelter 313,Smelter,2023,5,Total_GHG,1040.174,Direct Measurement,EU EMEP/EEA,EU ETS,432.72,150.068,457.386,339584.06,145.154,8.66,9858.42,MWh,212299,High,Synthetic,v1.0,Generated,25.7535,51.6405,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1040.174
Concentrator 314,Sequoia Refining,Canada,North America,Mining,FAC-314,Silverline Concentrator 314,Concentrator,2024,11,Total_GHG,1538.707,Emission Factor,IEA 2023,US EPA,638.898,172.63,727.179,401469.73,68.923,15.521,10836.33,MWh,212299,High,Synthetic,v1.0,Generated,45.9924,-118.0349,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1538.707
Processing Plant 315,Alpha Energy,USA,North America,Mining,FAC-315,Oakridge Processing Plant 315,Processing Plant,2019,2,Total_GHG,1552.052,Direct Measurement,IPCC 2019,US EPA,634.73,151.191,766.131,439660.77,204.482,13.637,13190.16,tons/day,212299,Medium,Synthetic,v1.0,Generated,47.1547,-86.4678,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1552.052
Smelter 316,Beta Oilfield Services,UK,Europe,Mining,FAC-316,Highland Smelter 316,Smelter,2020,12,Total_GHG,1087.101,Direct Measurement,IPCC 2019,Local Authority,623.765,97.018,366.318,276959.65,31.267,17.033,8023.36,tons/day,212299,Low,Synthetic,v1.0,Generated,55.7085,-6.0946,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1087.101
Processing Plant 317,Orion Upstream,South Africa,Africa,Mining,FAC-317,Northshore Processing Plant 317,Processing Plant,2021,3,Total_GHG,1110.869,Emission Factor,IEA 2023,National Authority,641.355,132.634,336.88,395634.48,161.94,15.567,10896.63,MWh,212299,Low,Synthetic,v1.0,Generated,-25.7888,24.8725,Maintenance,Synthetic dataset for research and benchmarking; non-identifiable.,1110.869
Cracker Unit 318,Alpha Energy,UAE,Middle East,Petrochemicals,FAC-318,Cedar Cracker Unit 318,Cracker Unit,2023,6,Total_GHG,1765.922,Hybrid,EU EMEP/EEA,EU ETS,845.812,75.226,844.884,220534.79,264.011,23.842,3946.2,tons/day,325110,High,Synthetic,v1.0,Generated,24.0182,52.9047,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,1765.922
Compressor 319,Epsilon Resources,Saudi Arabia,Middle East,Oil & Gas,FAC-319,Highland Compressor Station 319,Compressor Station,2022,5,Total_GHG,2905.545,Emission Factor,IPCC 2019,EU ETS,990.66,77.403,1837.482,169562.43,552.836,32.568,1310.13,MMscf,211120,High,Synthetic,v1.0,Generated,29.8936,38.2439,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2905.545
Compressor 320,Epsilon Resources,Norway,Europe,Oil & Gas,FAC-320,Pioneer Compressor Station 320,Compressor Station,2018,8,Total_GHG,2053.847,Emission Factor,IEA 2023,EU ETS,934.955,49.996,1068.896,132989.54,517.135,31.153,1094.92,MWh,211120,Medium,Synthetic,v1.0,Generated,67.1775,16.3472,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2053.847
Polymer Plant 321,Sequoia Refining,USA,North America,Petrochemicals,FAC-321,Cedar Polymer Plant 321,Polymer Plant,2018,4,Total_GHG,2375.209,Emission Factor,IEA 2023,US EPA,791.689,139.32,1444.2,336152.35,145.031,18.679,5672.4,tons/day,325110,High,Synthetic,v1.0,Generated,37.6244,-90.8943,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2375.209
Blending Station 322,Vertex LNG,UAE,Middle East,Petrochemicals,FAC-322,Northshore Blending Station 322,Blending Station,2023,10,Total_GHG,2662.691,Emission Factor,EPA AP-42,US EPA,920.73,188.005,1553.956,410379.69,1480.946,21.261,6848.61,MWh,325110,Medium,Synthetic,v1.0,Generated,24.3768,51.029,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2662.691
Blending Station 323,Beta Oilfield Services,Qatar,Middle East,Petrochemicals,FAC-323,Cedar Blending Station 323,Blending Station,2018,1,Total_GHG,2359.064,Hybrid,EPA AP-42,EU ETS,890.546,91.947,1376.571,250013.58,442.397,24.194,4649.38,tons/day,325110,High,Synthetic,v1.0,Generated,24.5103,50.4802,Operating,Synthetic dataset for research and benchmarking; non-identifiable.,2359.064
